Category,Item,Type,RatePerUOM,UOM,BaseCharge,ChargeCap,CN
Drayage,Standard,Dray from Pier to WH,535,per Ctnr,0,0,拖车费
Drayage,Pass Through,LA/LB Pier Pass - 20GP,70,per Ctnr,0,0,洛杉矶港口费（TEU）
Drayage,Pass Through,LA/LB Pier Pass - 40/45,70,per Ctnr,0,0,洛杉矶港口费（FEU）
Drayage,Pass Through,OAK Gate Fee,35,per Ctnr,0,0,奥克兰港口费
Drayage,Pass Through,Demurrage,,per Ctnr,,,滞港费
Drayage,Pass Through,Per Diem,,per Ctnr,,,滞箱费
Drayage,Std Ad Hoc,Port Congestion,100,per Ctnr,0,0,港口拥堵费
Drayage,Std Ad Hoc,Port Waiting Over 2hr,75,per Hr,0,0,港口等候费
Drayage,Std Ad Hoc,Delivery Waiting Over 2hr,75,per Hr,0,0,卸柜等候费
Drayage,Std Ad Hoc,Pre-Pull,100,per Ctnr,0,0,预提费
Drayage,Std Ad Hoc,Chassis,35,per Ctnr per Day,0,0,标准车架费
Drayage,Std Ad Hoc,Yard Storage,35,per Ctnr per Night,0,0,暂存费
Drayage,Std Ad Hoc,Unplanned Overnight Fee,125,per Ctnr per Night,0,0,计划外过夜费
Drayage,Std Ad Hoc,Weekend Delivery Surcharge,,per Ctnr,,,周末送柜附加费
Drayage,Std Ad Hoc,Dropoff Fee,100,per Ctnr,0,0,落柜费
Drayage,Std Ad Hoc,Dry Run,160,per Ctnr,0,0,空驶费
Drayage,Std Ad Hoc,Chassis Split,35,per Ctnr,0,0,车架拆分费
Drayage,Std Ad Hoc,Triaxile Chassis,,per Ctnr,,,三轴车架费
Drayage,Std Ad Hoc,Overweight Charge,,per Ctnr,,,超重费
Drayage,Std Ad Hoc,Scale Ticket,,per Ctnr,,,称重费
Drayage,Std Ad Hoc,Exam Site Drayage,,per Ctnr,,,查验拖车费
Drayage,Std Ad Hoc,Bobtail Fee,,per Ctnr,,,落柜返程费
Drayage,Std Ad Hoc,Payment Service,,per Ctnr,,,代付手续费
Drayage,Std Ad Hoc,Stop Off Fee,,per Stop,,,多点派送费
,,,,,,,
Customs,Standard,Customs Entry Fee,,per B/L,,,申报费
Customs,Standard,ISF/AMS Fee,,per B/L,,,ISF/AMS费
Customs,Std Ad Hoc,FDA/OGA Filing Fee,,per B/L,,,其他申报费
Customs,Std Ad Hoc,Exam Site Drayage,,per Ctnr,,,查验拖车费
Customs,Std Ad Hoc,Inspection Handling Fee,,per B/L,,,查验服务费
Customs,Std Ad Hoc,Payment Service,,per B/L,,,代付手续费
Customs,Pass Through,Duty Payment,,per B/L,,,税金
Customs,Pass Through,Single Bond,,per B/L,,,单次保证金
Customs,Pass Through,Customs Bond,,per B/L,,,海关保证金
Customs,Pass Through,Annual Bond,,per B/L,,,全年保证金
,,,,,,,
Transload,Standard,Devanning,,per Ctnr,,,掏箱费
Transload,Standard,Palletization,,per Pallet,,,打托费
Transload,Standard,Pallet Loading,,per Pallet,,,托盘装车费
Transload,Standard,Order Processing,,per Order,,,订单处理费
Transload,Standard,Outbound Order,,per BOL,,,发货制单费
Transload,Std Ad Hoc,Sort Fee (Extra Carton),,per Carton,,,超箱清点费
Transload,Std Ad Hoc,Pallet Seal,,per Truck,,,整车铅封费
Transload,Std Ad Hoc,Pallet Storage,,per Pallet per Day,,,托盘暂存费
Transload,Std Ad Hoc,Pickup Handling Fee,,per Pallet,,,提货管理费
,,,,,,,
Trucking,Standard,FTL Delivery,,per Truck,,,整车派送费
Trucking,Standard,LTL Delivery,,per Pallet,,,零担派送费
Trucking,Std Ad Hoc,Delivery Waiting Over 2hr,,per Hr,,,卸货等候费
Trucking,Std Ad Hoc,Stop Off Fee,,per Stop,,,多点派送费
Trucking,Std Ad Hoc,Weekend Delivery Surcharge,,per Truck,,,周末送柜附加费
