Item,Type,RatePerUOM,UOM,BaseCharge,ChargeCap,Currency
LGB,ONT8,750,Truck,0,0,USD
LGB,LGB8,750,Truck,0,0,USD
LGB,LAX9,750,Truck,0,0,USD
LGB,ONT2,800,Truck,0,0,USD
LGB,ONT6,800,Truck,0,0,USD
LGB,ONT9,800,Truck,0,0,USD
LGB,LGB4,800,Truck,0,0,USD
LGB,LGB6,800,Truck,0,0,USD
LGB,SNA4,800,Truck,0,0,USD
LGB,KRB1,800,Truck,0,0,USD
LGB,SBD2,800,Truck,0,0,USD
LGB,SMF3,1950,Truck,0,0,USD
LGB,SJC7,1950,Truck,0,0,USD
LGB,OAK3,1950,Truck,0,0,USD
LGB,SCK1,1950,Truck,0,0,USD
LGB,PHX3,1950,Truck,0,0,USD
LGB,PHX5,1950,Truck,0,0,USD
LGB,PHX6,1950,Truck,0,0,USD
LGB,PHX7,1950,Truck,0,0,USD
LGB,SLC3,4950,Truck,0,0,USD
LGB,LAS1,1850,Truck,0,0,USD
LGB,LAS6,1900,Truck,0,0,USD
LGB,RNO4,3300,Truck,0,0,USD
LGB,FTW1,5850,Truck,0,0,USD
LGB,DFW6,6050,Truck,0,0,USD
LGB,SAT1,6050,Truck,0,0,USD
LGB,BFI3,5050,Truck,0,0,USD
LGB,BFI7,5050,Truck,0,0,USD
LGB,MDW2,7755,Truck,0,0,USD
LGB,BNA2,7755,Truck,0,0,USD
LGB,CHA2,7755,Truck,0,0,USD
LGB,MEM1,7755,Truck,0,0,USD
LGB,IND2,7975,Truck,0,0,USD
LGB,IND4,7975,Truck,0,0,USD
LGB,IND5,7975,Truck,0,0,USD
LGB,IND9,7975,Truck,0,0,USD
LGB,CMH2,7975,Truck,0,0,USD
LGB,CLT2,8305,Truck,0,0,USD
LGB,MDT1,8855,Truck,0,0,USD
LGB,ABE4,8855,Truck,0,0,USD
LGB,ABE8,8855,Truck,0,0,USD
