Item,Type,RatePerUOM,UOM,BaseCharge,ChargeCap,Currency
LGB,ONT8,40,pallet,0,0,USD
LGB,LGB8,40,pallet,0,0,USD
LGB,LAX9,40,pallet,0,0,USD
LGB,ONT2,50,pallet,0,0,USD
LGB,ONT6,50,pallet,0,0,USD
LGB,ONT9,50,pallet,0,0,USD
LGB,LGB4,50,pallet,0,0,USD
LGB,LGB6,50,pallet,0,0,USD
LGB,SNA4,50,pallet,0,0,USD
LGB,KRB1,65,pallet,0,0,USD
LGB,SBD2,65,pallet,0,0,USD
LGB,SMF3,90,pallet,0,0,USD
LGB,SJC7,95,pallet,0,0,USD
LGB,OAK3,95,pallet,0,0,USD
LGB,SCK1,95,pallet,0,0,USD
LGB,PHX3,95,pallet,0,0,USD
LGB,PHX5,95,pallet,0,0,USD
LGB,PHX6,95,pallet,0,0,USD
LGB,PHX7,95,pallet,0,0,USD
LGB,SLC3,210,pallet,0,0,USD
LGB,LAS1,95,pallet,0,0,USD
LGB,LAS6,95,pallet,0,0,USD
LGB,RNO4,180,pallet,0,0,USD
LGB,FTW1,210,pallet,0,0,USD
LGB,DFW6,220,pallet,0,0,USD
LGB,SAT1,250,pallet,0,0,USD
LGB,BFI3,230,pallet,0,0,USD
LGB,BFI7,230,pallet,0,0,USD
LGB,MDW2,280,pallet,0,0,USD
LGB,BNA2,280,pallet,0,0,USD
LGB,CHA2,280,pallet,0,0,USD
LGB,MEM1,280,pallet,0,0,USD
LGB,IND2,280,pallet,0,0,USD
LGB,IND4,280,pallet,0,0,USD
LGB,IND5,280,pallet,0,0,USD
LGB,IND9,280,pallet,0,0,USD
LGB,CMH2,280,pallet,0,0,USD
LGB,CLT2,280,pallet,0,0,USD
LGB,MDT1,310,pallet,0,0,USD
LGB,ABE4,310,pallet,0,0,USD
LGB,ABE8,310,pallet,0,0,USD
